#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
30,6,FR,SheisouTV,1388,42,18,0,30,60,0.7000000000000001,2021-01-05 22:04:55.252560
30,6,FR,SheisouTV,1388,42,18,0,30,60,0.7000000000000001,2021-01-05 22:20:08.152673
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 14:35:25.713053
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 14:35:26.005693
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 14:35:26.181073
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 14:56:08.521809
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 14:56:08.782990
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 14:56:08.955760
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 17:51:38.683860
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 17:51:38.925522
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 17:51:39.072144
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 18:40:00.678127
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 18:40:00.939607
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 18:40:01.098587
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 21:50:21.426485
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 21:50:21.677248
81,6,FR,SheisouTV,1404,53,27,0,78,80,0.6625,2021-01-06 21:50:21.821026
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.217911
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.624746
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.844489
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.229597
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.435621
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.790294
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.987296
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.262195
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.657533
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.074452
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.437650
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.647470
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.958626
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.361718
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:17.526638
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:17.950655
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:18.174913
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:19.680408
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:20.121517
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:20.968974
40,6,FR,SheisouTV,1466,92,58,0,41,150,0.6133333333333331,2021-01-08 01:08:21.208658
83,6,FR,SheisouTV,1466,92,58,0,83,150,0.6133333333333331,2021-01-08 21:49:58.511895
83,6,FR,SheisouTV,1466,92,58,0,83,150,0.6133333333333331,2021-01-08 21:49:59.166242
83,6,FR,SheisouTV,1466,92,58,0,83,150,0.6133333333333331,2021-01-08 23:21:38.935109
83,6,FR,SheisouTV,1466,92,58,0,83,150,0.6133333333333331,2021-01-08 23:21:39.605574
83,6,FR,SheisouTV,1466,92,58,0,83,150,0.6133333333333331,2021-01-08 23:21:46.216856
83,6,FR,SheisouTV,1466,92,58,0,83,150,0.6133333333333331,2021-01-08 23:21:46.863061
95,6,FR,SheisouTV,1466,92,58,0,94,150,0.6133333333333331,2021-01-09 00:22:41.751506
95,6,FR,SheisouTV,1466,92,58,0,94,150,0.6133333333333331,2021-01-09 00:24:16.856072
95,6,FR,SheisouTV,1466,92,58,0,94,150,0.6133333333333331,2021-01-09 11:20:08.286709
95,6,FR,SheisouTV,1466,92,58,0,94,150,0.6133333333333331,2021-01-09 15:20:45.356566
95,6,FR,SheisouTV,1466,92,58,0,94,150,0.6133333333333331,2021-01-09 20:50:24.982091
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:55.770853
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.787009
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.241508
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.203238
