battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Giana,Jager,Molly,Ragdoll,Nephthys,Giana,None,Jager,Nephthys,Seara,Okeanos,Barbara,Chiwu,Cheongpung,None,Chiwu,Chiwu,Cheongpung,2021-01-06 10:46:16,杰咪爸,아리셉트
1,True,Jager,Seara,Ragdoll,Nephthys,Cheongpung,None,Nephthys,Nephthys,Cheongpung,Giana,Molly,Artamiel,Zeratu,Fran,Giana,None,Artamiel,Fran,2021-01-05 22:09:14,杰咪爸,서빈마마
2,True,Jager,Molly,Ragdoll,Cheongpung,Giana,Giana,None,Jager,Giana,Seara,Vigor,Nephthys,Savannah,Okeanos,None,Savannah,Nephthys,Okeanos,2021-01-05 22:02:56,杰咪爸,Luckygod!
3,False,Seara,Jager,Ragdoll,Molly,Nephthys,None,Nephthys,Jager,Nephthys,Giana,Cheongpung,Artamiel,Laika,Fran,Giana,None,Giana,Fran,2021-01-05 21:53:48,杰咪爸,서빈마마
4,False,Seara,Jager,Molly,TianLang,Pater,None,Pater,Jager,Pater,Giana,Ragdoll,Cheongpung,Savannah,Nephthys,Giana,None,Giana,Nephthys,2021-01-05 21:36:14,杰咪爸,secondbaby
5,True,Giana,Ragdoll,Jager,Molly,Pater,Giana,None,Jager,Pater,Seara,Triton,Okeanos,Chiwu,Nephthys,None,Chiwu,Seara,Nephthys,2021-01-05 21:00:38,杰咪爸,HeavensRoyalty
6,True,Giana,Jager,Molly,Ragdoll,Leo,None,Leo,Jager,Leo,Okeanos,Fran,Barbara,Cheongpung,Seara,Seara,None,Fran,Seara,2021-01-05 16:04:25,杰咪爸,Krom`z
7,True,Giana,Molly,Jager,TianLang,Pater,None,Pater,Jager,Pater,Ragdoll,Cheongpung,Okeanos,Ganymede,Nephthys,Ragdoll,None,Ganymede,Nephthys,2021-01-05 15:54:03,杰咪爸,secondbaby
8,True,Jager,Molly,Ragdoll,Nephthys,Giana,Giana,None,Jager,Giana,Chiwu,Hathor,Ganymede,Seara,Tesarion,None,Seara,Chiwu,Tesarion,2021-01-05 15:49:11,杰咪爸,알테프사
9,True,Giana,Ragdoll,Jager,Molly,Leo,None,Leo,Jager,Leo,Seara,Ganymede,Barbara,Masha,Okeanos,Seara,None,Seara,Okeanos,2021-01-05 15:46:34,杰咪爸,LuckyTonkatsu
10,False,Giana,Pater,Nephthys,Cheongpung,Ragdoll,None,Cheongpung,Nephthys,Ragdoll,Seara,Molly,Jager,Leo,Tetra,Seara,None,Jager,Tetra,2021-01-05 15:42:49,杰咪爸,Trɘbi®Trebi
11,True,Giana,Seara,Jager,Cheongpung,Ragdoll,None,Cheongpung,Seara,Ragdoll,Molly,Moore/WaterRYU,Pater,Hathor,Okeanos,Molly,None,Moore/WaterRYU,Okeanos,2021-01-05 15:38:57,杰咪爸,Ꮤ﹏椛落✿知秋
12,True,Jager,Molly,Ragdoll,Leo,Giana,Giana,None,Jager,Giana,Okeanos,Cheongpung,Poseidon,Bellenus,Bastet,None,Bellenus,Okeanos,Bastet,2021-01-05 15:35:00,杰咪爸,Icedcoyote
13,True,Giana,Ragdoll,Molly,Miho,Jager,None,Miho,Ragdoll,Jager,Okeanos,Seara,Tetra,Laika,Daphnis,Okeanos,None,Seara,Daphnis,2021-01-05 12:13:50,杰咪爸,JinYao
14,True,Jager,Molly,TianLang,Nephthys,Giana,None,Nephthys,Jager,Giana,Wedjat,Taranys,Bulldozer,FengYan,Velajuel,Velajuel,None,Wedjat,Velajuel,2021-01-05 12:05:44,杰咪爸,おさださん
