#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
8,3,CN,杰咪爸,1427,42,13,0,9,55,0.7636363636363631,2021-01-05 22:04:55.348740
8,3,CN,杰咪爸,1427,42,13,0,9,55,0.7636363636363631,2021-01-05 22:04:55.360855
8,3,CN,杰咪爸,1427,42,13,0,9,55,0.7636363636363631,2021-01-05 22:20:08.248068
8,3,CN,杰咪爸,1427,42,13,0,9,55,0.7636363636363631,2021-01-05 22:20:08.259857
3,3,CN,杰咪爸,1483,56,17,0,4,73,0.7671232876712321,2021-01-06 12:13:40.931556
3,3,CN,杰咪爸,1483,56,17,0,4,73,0.7671232876712321,2021-01-06 12:13:40.944383
3,3,CN,杰咪爸,1483,56,17,0,4,73,0.7671232876712321,2021-01-06 12:13:41.224764
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:35:25.778706
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:35:25.792393
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:35:26.069481
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:35:26.256508
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:56:08.581593
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:56:08.593859
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:56:08.853657
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 14:56:09.027278
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 17:51:38.738120
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 17:51:38.749132
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 17:51:38.979825
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 17:51:39.133974
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 18:40:00.735812
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 18:40:00.747951
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 18:40:00.998699
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 18:40:01.165960
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 21:50:21.494704
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 21:50:21.505601
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 21:50:21.730748
4,3,CN,杰咪爸,1483,56,17,0,5,73,0.7671232876712321,2021-01-06 21:50:21.882216
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:04:06.054369
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:04:06.066127
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:04:06.315445
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:04:06.483785
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:04:07.287421
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:42:40.272609
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:42:40.284743
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:42:40.533949
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:42:40.707792
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 02:42:41.508143
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 03:27:26.323374
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 03:27:26.335721
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 03:27:26.707914
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 03:27:26.935944
6,3,CN,杰咪爸,1498,75,28,0,7,103,0.728155339805825,2021-01-07 03:27:28.301422
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 03:48:34.533012
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 03:48:34.544096
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 03:48:34.864791
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 03:48:35.070491
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 03:48:36.327929
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 03:48:36.723203
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 13:39:11.172172
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 13:39:11.183476
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 13:39:11.519441
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 13:39:11.732615
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 13:39:13.025536
7,3,CN,杰咪爸,1498,75,28,0,8,103,0.728155339805825,2021-01-07 13:39:13.429257
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:17.634159
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:17.646488
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:18.035798
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:18.268123
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:19.753642
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:20.194541
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:21.044795
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:21.302322
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655,2021-01-08 01:08:21.424656
