#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:54.231687
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:54.366570
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:54.512570
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:54.647473
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:54.777958
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:54.922411
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:55.040704
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:04:55.102969
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.196402
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.326092
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.457915
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.574769
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.702480
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.830219
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:07.945361
51,4,CA,Raigeki!,1373,24,3,0,52,27,0.8888888888888881,2021-01-05 22:20:08.006834
