#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:04:06.410602
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:04:06.746890
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:04:06.888231
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:04:07.341096
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:04:07.405242
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:42:40.633101
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:42:40.979122
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:42:41.115467
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:42:41.555252
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 02:42:41.617324
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 03:27:26.828007
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 03:27:27.452316
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 03:27:27.731795
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 03:27:28.357252
74,6,PT,Nect,1418,67,38,0,73,105,0.638095238095238,2021-01-07 03:27:28.505428
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 03:48:34.971869
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 03:48:35.544784
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 03:48:35.805311
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 03:48:36.383126
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 03:48:36.518694
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 03:48:36.773978
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:11.632526
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:12.223406
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:12.486266
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:13.078322
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:13.219012
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:13.486159
78,6,PT,Nect,1418,67,38,0,79,105,0.638095238095238,2021-01-07 13:39:13.992914
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.158078
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.842604
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.154570
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.811646
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.965343
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.253236
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.809303
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.105520
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.364341
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.448414
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:49.022759
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.378120
