#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.188341
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.244337
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.316285
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.380647
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.392360
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.465447
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.603478
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.660778
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.735215
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.878051
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:54.998752
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:55.115617
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:55.127464
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:55.139368
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:55.151660
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:04:55.213473
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.156479
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.207762
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.277750
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.338981
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.350316
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.421630
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.532866
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.587667
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.660830
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.789129
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:07.904364
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:08.019346
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:08.031111
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:08.042763
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:08.054696
1,6,NL,Seiishizo,1454,40,10,0,2,50,0.8,2021-01-05 22:20:08.114240
