battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Nicki,Bernard,Daphnis,Vigor,Draco,None,Draco,Daphnis,Draco,Okeanos,Yeonhong,Triana,Sian,Seara,Okeanos,None,Yeonhong,Seara,2021-01-07 04:31:00,FlagBearer,Duhstin
1,True,Nicki,Draco,Bernard,Julie,Lushen,None,Julie,Nicki,Lushen,Seara,Triana,Beelzebub,Hwadam,Giana,Seara,None,Beelzebub,Giana,2021-01-07 04:27:30,FlagBearer,o2loveo
2,True,Nicki,Draco,Vigor,Daphnis,Rica,None,Rica,Draco,Rica,Barbara,Vanessa,Triton,Cheongpung,Okeanos,Okeanos,None,Vanessa,Okeanos,2021-01-07 04:17:12,FlagBearer,Inviсtus
3,True,Nicki,Draco,Bernard,Shimitae,Lushen,None,Lushen,Shimitae,Lushen,Okeanos,Giana,Juno,Savannah,Vanessa,Okeanos,None,Giana,Vanessa,2021-01-07 01:36:28,FlagBearer,Seiishizo
4,True,Draco,Bernard,Lushen,Julie,Nicki,None,Julie,Bernard,Nicki,Hwadam,Fran,Taranys,Vanessa,Ragdoll,Hwadam,None,Vanessa,Ragdoll,2021-01-06 04:33:57,FlagBearer,Elmimo
5,True,Nicki,Draco,Bernard,Lushen,Shimitae,None,Lushen,Bernard,Shimitae,Nephthys,Han,Rahul,Molly,Woonsa,Nephthys,None,Han,Woonsa,2021-01-06 03:46:41,FlagBearer,PRO༊
6,True,Nicki,Bernard,Julie,Lushen,Draco,Nicki,None,Bernard,Draco,Fran,Okeanos,Rica,Icares,Psamathe,None,Psamathe,Fran,Psamathe,2021-01-06 03:44:22,FlagBearer,_Dr.Nalga_
7,True,Nicki,Draco,Bernard,Shimitae,Garo,Nicki,None,Shimitae,Garo,Fran,Okeanos,Chiwu,Savannah,Verdehile,None,Verdehile,Chiwu,Verdehile,2021-01-06 03:42:58,FlagBearer,-Tnnnn-_
8,True,Nicki,Bernard,Daphnis,Miho,Okeanos,Nicki,None,Daphnis,Okeanos,Lushen,Leo,Verdehile,Triana,Bastet,None,Triana,Leo,Bastet,2021-01-06 03:15:04,FlagBearer,Flash!Flash!
9,True,Nicki,Bernard,Draco,Shimitae,Julie,Nicki,None,Shimitae,Julie,Okeanos,Daphnis,Bastet,Lushen,Leo,None,Leo,Daphnis,Leo,2021-01-06 03:11:59,FlagBearer,Flash!Flash!
10,True,Nicki,Draco,Shimitae,Bernard,Garo,None,Garo,Shimitae,Garo,Seara,Bering,Chiwu,Psamathe,Verdehile,Seara,None,Psamathe,Verdehile,2021-01-05 23:23:08,FlagBearer,超凶∑(ﾟДﾟ)
11,True,Nicki,Vigor,Kahli,Garo,Daphnis,Nicki,None,Nicki,Daphnis,Ragdoll,Fran,Odin,FengYan,ShiHou,None,ShiHou,Fran,ShiHou,2021-01-05 22:15:36,FlagBearer,OhBIGz`zp
12,True,Nicki,Draco,Bernard,Shimitae,Garo,None,Garo,Shimitae,Garo,Seara,Bastet,Lushen,Taranys,Magnum,Seara,None,Seara,Magnum,2021-01-05 22:09:43,FlagBearer,小澳闷嘎嘎
13,True,Nicki,Draco,Shimitae,Bernard,Psamathe,None,Psamathe,Shimitae,Psamathe,Bastet,Wolyung,Chiwu,Zaiross,Lydia,Bastet,None,Wolyung,Lydia,2021-01-05 22:07:56,FlagBearer,☆Yor~yuI☆
14,False,Bernard,Draco,Garo,Shimitae,Nicki,Nicki,None,Shimitae,Nicki,Okeanos,Ganymede,Chiwu,TianLang,Magnum,None,Magnum,Chiwu,Magnum,2021-01-05 22:06:16,FlagBearer,パデオ
15,False,Nicki,Draco,Vigor,Daphnis,Leo,None,Leo,Daphnis,Leo,Moore/WaterRYU1,Vanessa,Savannah,ShiHou,Okeanos,Okeanos,None,Vanessa,Okeanos,2021-01-07 08:03:54,FlagBearer,PinkRoid~
16,True,Nicki,Okeanos,Vigor,Leo,Verdehile,Nicki,None,Okeanos,Verdehile,Moore/WaterRYU,Savannah,Chiwu,TianLang,Cheongpung,None,TianLang,Chiwu,Cheongpung,2021-01-07 07:59:39,FlagBearer,俏皮可爱小尾巴
17,False,Nicki,Draco,Psamathe,Orochi,Bernard,None,Orochi,Psamathe,Bernard,Okeanos,Trinity,Bastet,Shimitae,Woonsa,Okeanos,None,Trinity,Woonsa,2021-01-07 07:55:19,FlagBearer,KĪRĪN_
18,True,Draco,Shimitae,Bernard,Psamathe,Nicki,None,Psamathe,Psamathe,Nicki,Okeanos,Moore/WaterRYU,Savannah,Chiwu,TianLang,Okeanos,None,Chiwu,TianLang,2021-01-07 07:44:56,FlagBearer,俏皮可爱小尾巴
19,True,Nicki,Draco,Bernard,Shimitae,Garo,None,Garo,Shimitae,Garo,Okeanos,Chiwu,Barbara,Eshir,Psamathe,Okeanos,None,Chiwu,Psamathe,2021-01-07 07:40:39,FlagBearer,サキ2
20,True,Nicki,Draco,Bernard,Shimitae,Psamathe,Nicki,None,Shimitae,Psamathe,Seara,Okeanos,Barbara,Antares,Vanessa,None,Antares,Seara,Vanessa,2021-01-07 04:37:56,FlagBearer,Dilmaxd
