#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 14:56:09.172225
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 14:56:09.399921
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 17:51:39.265885
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 17:51:39.474165
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 18:40:01.307857
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 18:40:01.528383
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 21:50:22.015853
59,4,BR,Dilmaxd,1408,55,29,0,57,84,0.6547619047619041,2021-01-06 21:50:22.225846
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.255817
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.619896
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.425742
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.364613
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.697678
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.445877
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.033687
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.380016
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.143196
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.913326
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.630822
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.021784
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.882543
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.724065
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.933900
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.288255
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 12:19:42.500425
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.282978
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.909158
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:38.664849
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.323067
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:45.988694
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.608592
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.249070
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.695723
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.465611
