#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
54,1,KR,아리셉트,1373,30,9,0,52,39,0.769230769230769,2021-01-05 22:04:55.311002
54,1,KR,아리셉트,1373,30,9,0,52,39,0.769230769230769,2021-01-05 22:04:55.323693
54,1,KR,아리셉트,1373,30,9,0,52,39,0.769230769230769,2021-01-05 22:04:55.336084
54,1,KR,아리셉트,1373,30,9,0,52,39,0.769230769230769,2021-01-05 22:20:08.210260
54,1,KR,아리셉트,1373,30,9,0,52,39,0.769230769230769,2021-01-05 22:20:08.222699
54,1,KR,아리셉트,1373,30,9,0,52,39,0.769230769230769,2021-01-05 22:20:08.235363
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.275878
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.288050
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.300093
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.683508
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.911890
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.276258
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.489015
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.500182
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.511292
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.842978
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.048551
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.305660
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.700570
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.127756
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.138995
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.150307
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.496674
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.710282
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.002860
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.406106
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.585472
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.597741
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.610158
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.011023
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.243442
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.728984
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.169910
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.019396
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.275561
