#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
30,6,FR,Albuza,1422,56,26,0,31,82,0.6829268292682921,2021-01-06 14:56:09.436061
30,6,FR,Albuza,1422,56,26,0,31,82,0.6829268292682921,2021-01-06 17:51:39.507385
30,6,FR,Albuza,1422,56,26,0,31,82,0.6829268292682921,2021-01-06 18:40:01.564402
30,6,FR,Albuza,1422,56,26,0,31,82,0.6829268292682921,2021-01-06 21:50:22.259776
51,6,FR,Albuza,1429,60,29,0,50,89,0.674157303370786,2021-01-07 02:04:06.877158
51,6,FR,Albuza,1429,60,29,0,50,89,0.674157303370786,2021-01-07 02:04:07.429300
51,6,FR,Albuza,1429,60,29,0,50,89,0.674157303370786,2021-01-07 02:42:41.104778
51,6,FR,Albuza,1429,60,29,0,50,89,0.674157303370786,2021-01-07 02:42:41.640972
51,6,FR,Albuza,1429,60,29,0,50,89,0.674157303370786,2021-01-07 03:27:27.710289
51,6,FR,Albuza,1429,60,29,0,50,89,0.674157303370786,2021-01-07 03:27:28.528098
56,6,FR,Albuza,1429,60,29,0,54,89,0.674157303370786,2021-01-07 03:48:35.784878
56,6,FR,Albuza,1429,60,29,0,54,89,0.674157303370786,2021-01-07 03:48:36.539837
56,6,FR,Albuza,1429,60,29,0,54,89,0.674157303370786,2021-01-07 13:39:12.465819
56,6,FR,Albuza,1429,60,29,0,54,89,0.674157303370786,2021-01-07 13:39:13.240552
56,6,FR,Albuza,1429,60,29,0,54,89,0.674157303370786,2021-01-07 13:39:14.016164
60,6,FR,Albuza,1454,75,39,0,60,114,0.6578947368421051,2021-01-08 01:08:19.118131
60,6,FR,Albuza,1454,75,39,0,60,114,0.6578947368421051,2021-01-08 01:08:19.989474
60,6,FR,Albuza,1454,75,39,0,60,114,0.6578947368421051,2021-01-08 01:08:20.834413
60,6,FR,Albuza,1454,75,39,0,60,114,0.6578947368421051,2021-01-08 01:12:49.035994
60,6,FR,Albuza,1454,75,39,0,60,114,0.6578947368421051,2021-01-08 01:13:11.391290
