battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Okeanos,Ganymede,Vanessa,Molly,Tetra,Okeanos,None,Vanessa,Tetra,Chiwu,Nephthys,Bellenus,Savannah,Poseidon,None,Savannah,Chiwu,Poseidon,2021-01-06 10:49:16,°빛대,이지은ツ
1,True,Ganymede,Vanessa,Cheongpung,Yeonhong,Okeanos,None,Yeonhong,Vanessa,Okeanos,Seara,Eshir,Barbara,Juno,Verdehile,Seara,None,Seara,Verdehile,2021-01-06 10:41:49,°빛대,FaceRegret
2,False,Okeanos,Vanessa,Cheongpung,Yeonhong,Ganymede,None,Yeonhong,Vanessa,Ganymede,Seara,Chiwu,Masha,Psamathe,Barbara,Seara,None,Psamathe,Barbara,2021-01-06 10:37:42,°빛대,아리셉트
3,False,Okeanos,Ganymede,Cheongpung,Yeonhong,Seara,None,Yeonhong,Yeonhong,Seara,Vanessa,Barbara,Pater,Velajuel,Verdehile,Vanessa,None,Vanessa,Verdehile,2021-01-06 10:34:53,°빛대,イヤキチばばあ
4,True,Okeanos,XingZhe,Molly,Amduat,Akroma,Okeanos,None,XingZhe,Akroma,Ganymede,Hathor,Verdehile,Praha,Velajuel,None,Velajuel,Ganymede,Velajuel,2021-01-06 09:38:40,°빛대,fallenwizard
5,True,Okeanos,Ganymede,Cheongpung,Seara,Yeonhong,Okeanos,None,Seara,Yeonhong,Diana,Fran,Vigor,Juno,Verdehile,None,Verdehile,Fran,Verdehile,2021-01-06 08:44:55,°빛대,えれま
6,True,XingZhe,Molly,Akroma,Helena,Tetra,XingZhe,None,Akroma,Tetra,Okeanos,Vigor,Laika,Bellenus,Cheongpung,None,Bellenus,Okeanos,Cheongpung,2021-01-06 08:35:46,°빛대,みちゃこ.
7,True,Okeanos,Ganymede,Seara,Yeonhong,Cheongpung,Okeanos,None,Seara,Cheongpung,XingZhe,Fran,Jager,Artamiel,Molly,None,Artamiel,Artamiel,Molly,2021-01-06 08:31:21,°빛대,ღHi奎木狼
8,True,Okeanos,Ganymede,Seara,Yeonhong,Cheongpung,Okeanos,None,Seara,Cheongpung,Molly,Vigor,XingZhe,Lagmaron,Velajuel,None,Lagmaron,XingZhe,Velajuel,2021-01-06 08:28:43,°빛대,amPikachuu
9,True,XingZhe,Molly,Akroma,Tetra,Diana,None,Diana,Akroma,Diana,Okeanos,Seara,Barbara,Vigor,Fran,Okeanos,None,Seara,Fran,2021-01-06 08:23:53,°빛대,BlackKn1ght_
10,False,XingZhe,Molly,Tetra,Vigor,Akroma,None,Vigor,XingZhe,Akroma,Seara,Okeanos,Fran,Bella,Han,Seara,None,Seara,Han,2021-01-06 08:20:04,°빛대,TR•Luƒiα
11,False,XingZhe,Molly,Tetra,Akroma,Tesarion,None,Tesarion,Akroma,Tesarion,Giana,Ragdoll,Fran,Jager,Vigor,Giana,None,Fran,Vigor,2021-01-06 08:12:21,°빛대,【LO】
12,False,Okeanos,Chiwu,Cheongpung,Yeonhong,Ganymede,Okeanos,None,Chiwu,Ganymede,Seara,Fran,MeiHouWang,Juno,Amduat,None,Amduat,Seara,Amduat,2021-01-06 08:05:08,°빛대,Tropicb
13,True,Ganymede,Chiwu,Cheongpung,Yeonhong,Okeanos,Okeanos,None,Chiwu,Okeanos,Vigor,Savannah,Juno,Diana,Fran,None,Diana,Juno,Fran,2021-01-06 07:50:35,°빛대,ありゅうん
14,False,Okeanos,XingZhe,Cheongpung,Seara,Molly,None,Seara,Seara,Molly,Ganymede,Vigor,Pater,Verdehile,Rica,Ganymede,None,Ganymede,Rica,2021-01-06 07:45:15,°빛대,°쥬리
