#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.841234
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.996489
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.207365
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.368078
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.547751
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.737831
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.915392
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.450721
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.048277
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.920676
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.098574
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.149459
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.292552
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.488025
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.646279
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.815909
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.990433
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.154051
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.647022
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.172830
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.981521
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.144110
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.923232
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.759178
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.906597
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.117863
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.275315
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.443851
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.620739
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.789978
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.288878
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.837856
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.667678
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.835092
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.640512
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.808752
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.073324
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.238097
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.460941
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.642151
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.831486
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.026432
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.212712
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.763898
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.386174
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.359070
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.544118
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.422683
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.607932
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.832069
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.178873
